noise_strength,observer,current_time,current_v,probe_auc,recovery_probability,mean_future_v_min,std_future_v_min
0.0,slow_observer,8.0,1.0,1.0571428571428572,1.0,0.2203573442124145,0.0
0.0,slow_observer,8.0,1.0,1.185714285714286,1.0,0.12553594013013922,0.0
0.0,slow_observer,8.0,1.0,1.3142857142857145,0.0,0.03071453604786725,0.0
0.0,slow_observer,8.0,1.0,1.442857142857143,0.0,-0.06410686803440752,0.0
0.0,slow_observer,8.0,1.0,1.5714285714285716,0.0,-0.1589282721166825,2.7755575615628914e-17
0.0,slow_observer,8.0,1.0,1.7000000000000002,0.0,-0.2537496761989557,0.0
0.0,slow_observer,8.0,1.0,1.8285714285714287,0.0,-0.34857108028122935,5.551115123125783e-17
0.0,slow_observer,8.0,1.0,1.9571428571428573,0.0,-0.4433924843635038,5.551115123125783e-17
0.0,slow_observer,8.0,1.0,2.085714285714286,0.0,-0.5382138884457769,0.0
0.0,slow_observer,8.0,1.0,2.2142857142857144,0.0,-0.6330352925280528,0.0
0.0,slow_observer,8.0,1.0,2.3428571428571434,0.0,-0.7278566966103249,0.0
0.0,slow_observer,8.0,1.0,2.4714285714285715,0.0,-0.8226781006925988,1.1102230246251565e-16
0.0,slow_observer,8.0,1.0,2.6000000000000005,0.0,-0.9174995047748741,0.0
0.0,slow_observer,8.0,1.0,2.7285714285714286,0.0,-1.0123209088571479,0.0
0.0,slow_observer,8.0,1.0,2.8571428571428577,0.0,-1.1071423129394222,0.0
0.0,slow_observer,8.0,1.0,2.9857142857142858,0.0,-1.2019637170216948,0.0
0.0,slow_observer,8.0,1.0,3.1142857142857148,0.0,-1.2967851211039692,2.220446049250313e-16
0.0,slow_observer,8.0,1.0,3.242857142857143,0.0,-1.391606525186244,2.220446049250313e-16
0.0,slow_observer,8.0,1.0,3.371428571428572,0.0,-1.4864279292685174,2.220446049250313e-16
0.0,slow_observer,8.0,1.0,3.5,0.0,-1.58124933335079,2.220446049250313e-16
0.0,slow_observer,16.0,0.9999999999978356,0.8,1.0,0.4100001523761984,0.0
0.0,slow_observer,16.0,0.9999999999978356,0.9285714285714286,1.0,0.3151787482939245,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.0571428571428572,1.0,0.22035734421165043,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.185714285714286,1.0,0.12553594012937683,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.3142857142857145,0.0,0.030714536047102833,3.469446951953614e-18
0.0,slow_observer,16.0,0.9999999999978356,1.442857142857143,0.0,-0.06410686803517081,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.5714285714285716,0.0,-0.15892827211744545,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.7000000000000002,0.0,-0.25374967619971817,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.8285714285714287,0.0,-0.34857108028199324,0.0
0.0,slow_observer,16.0,0.9999999999978356,1.9571428571428573,0.0,-0.4433924843642672,5.551115123125783e-17
0.0,slow_observer,16.0,0.9999999999978356,2.085714285714286,0.0,-0.538213888446541,1.1102230246251565e-16
0.0,slow_observer,16.0,0.9999999999978356,2.2142857142857144,0.0,-0.6330352925288153,0.0
0.0,slow_observer,16.0,0.9999999999978356,2.3428571428571434,0.0,-0.7278566966110888,1.1102230246251565e-16
0.0,slow_observer,16.0,0.9999999999978356,2.4714285714285715,0.0,-0.8226781006933627,0.0
0.0,slow_observer,16.0,0.9999999999978356,2.6000000000000005,0.0,-0.9174995047756366,0.0
0.0,slow_observer,16.0,0.9999999999978356,2.7285714285714286,0.0,-1.0123209088579095,0.0
